Il,Ilce,AKP,CHP,HDP,MHP,IYI
Adana,Aladağ,48.46292947558771,14.81869230037118,0.5996002664890073,17.69296659369944,15.208908346816408
Adana,Ceyhan,30.510383592208015,22.987642667124344,16.566549386424096,14.248476787093452,13.127520810091822
Adana,Çukurova,23.981902378398626,38.045439842007596,8.166062277610365,10.049032126257725,17.125491598140865
Adana,Feke,54.721595184349134,12.471783295711061,0.41384499623777277,15.293453724604966,13.628668171557562
Adana,İmamoğlu,48.58287309583055,16.453237846695394,2.3608666626206225,14.808520968622929,14.34727195484615
Adana,Karaisalı,55.709538287492045,9.135261259987272,0.6434278441631903,17.195785901152515,14.409955454995403
Adana,Karataş,24.75828976580964,37.47761942276015,11.23684022058297,13.578743822960682,10.77848599871088
Adana,Kozan,47.022523108970184,14.63481317536779,1.110532482749642,15.604738966280433,18.29449290456972
Adana,Pozantı,45.05085008927878,20.836891545687447,1.8088657712910488,15.557798307584815,13.267603446937349
Adana,Saimbeyli,50.97836095764273,10.612338858195212,0.7941988950276243,24.251841620626152,9.990791896869245
Adana,Sarıçam,40.61813276473532,15.258588803550836,4.47009421030874,21.608537673244708,15.124779704532104
Adana,Seyhan,29.82586005480768,28.68931031847412,20.266614260915137,8.880372954265065,9.609249615145263
Adana,Tufanbeyli,42.79766860949209,19.280229438430936,1.443241742991951,23.202886483485983,9.418077527985938
Adana,Yumurtalık,34.63600836135599,24.338816686358268,3.5535762973734437,16.25011360538035,18.422248477687905
Adana,Yüreğir,39.214363390221706,21.988503961472734,16.609334428194146,9.774739785614416,8.881688452917286
Adıyaman,Merkez,48.45781992224705,12.756755461575786,19.176465655119536,10.137235756773432,6.165725205015005
Adıyaman,Besni,53.93715161989144,17.024073217632598,9.938417350242192,9.086483460312051,7.15867877224156
Adıyaman,Çelikhan,55.511729292090514,13.483495951837243,19.81523769981316,5.2833713929831845,2.1797799460244964
Adıyaman,Gerger,78.42401500938087,3.623358348968105,9.24015009380863,3.3302063789868668,2.1106941838649154
Adıyaman,Gölbaşı,46.09205309429409,22.382347871056716,7.777969315635235,14.156179968970868,6.833304602654715
Adıyaman,Kahta,66.87669655342602,2.928354034712511,15.96940034547997,5.435551534095583,1.9659455457760961
Adıyaman,Samsat,66.0569576290808,2.4311183144246353,8.890946978467237,9.678166242185691,4.028710349617967
Adıyaman,Sincik,87.26606212618175,1.4180976268570327,1.8907968358093767,4.794520547945205,2.9423114026625505
Adıyaman,Tut,48.262008733624455,22.67248908296943,5.327510917030568,13.048034934497817,8.262008733624453
Afyonkarahisar,Merkez,56.24236114254674,11.494500022633652,0.9726811823819655,13.88687700873659,14.364447059888642
Afyonkarahisar,Başmakçı,45.034574076798584,25.11402089156981,0.4707959393850228,12.96160070619391,13.138149183463293
Afyonkarahisar,Bayat,54.193282505666595,14.650731506284773,0.576962703482382,12.816814341644344,14.279826911188955
Afyonkarahisar,Bolvadin,53.52843119096129,9.057232820892757,0.5704760140766809,22.167067975551028,10.976106686423412
Afyonkarahisar,Çay,49.17586497054893,18.724941840320746,0.7078156709399595,12.651586398059694,15.809533237637975
Afyonkarahisar,Çobanlar,52.207151664611594,9.395807644882861,0.3082614056720099,20.91245376078915,14.180024660912453
Afyonkarahisar,Dazkırı,47.95529257067719,20.512820512820515,0.5391190006574622,13.91190006574622,14.227481919789613
Afyonkarahisar,Dinar,42.59655218495256,25.063477215020715,0.8485901376453294,13.517305893358278,14.87705465722304
Afyonkarahisar,Emirdağ,51.64184542514916,20.44905952543608,0.8607733296898483,11.53163000409892,12.478936102381928
Afyonkarahisar,Evciler,46.615786302470376,26.21008234585258,0.3012653143201446,11.086563566981322,13.617192207270536
Afyonkarahisar,Hocalar,60.03867225265872,9.055752497582985,0.5639703512729617,16.065098291975506,10.538188849500484
Afyonkarahisar,İhsaniye,62.082644628099175,10.143250688705233,0.33608815426997246,16.36914600550964,8.517906336088155
Afyonkarahisar,İscehisar,64.22928771952732,4.439511653718091,0.4765946334138539,11.405627733890448,15.930012404517855
Afyonkarahisar,Kızılören,47.42086752637749,16.64712778429074,0.41031652989449,15.826494724501758,16.64712778429074
Afyonkarahisar,Sandıklı,55.95593621457148,11.920324561897786,0.6310925790274412,13.42762156984279,14.582746379669803
Afyonkarahisar,Sinanpaşa,60.753888657608904,11.89494001438141,0.24221322332816106,13.529879271846497,10.839041743935208
Afyonkarahisar,Sultandağı,27.060981201283816,40.45850527281064,2.0357634112792296,8.124713434204493,19.16552040348464
Afyonkarahisar,Şuhut,61.388277655531105,16.315263052610522,0.3840768153630726,9.42988597719544,9.681936387277455
Ağrı,Merkez,40.580881895640275,2.3260152994589216,48.246159587038996,2.8499906710616334,2.3089122457864293
Ağrı,Diyadin,18.474828716115578,2.400953232052428,74.95978552278821,1.126005361930295,1.2034554661900507
Ağrı,Doğubayazıt,14.309747248515313,2.1261933234692014,79.54476356487018,1.205991446581673,1.0114113140239578
Ağrı,Eleşkirt,53.32470363809783,1.8258618340373347,36.926011718217744,3.0249352772857336,1.7236680746695736
Ağrı,Hamur,38.46153846153846,3.147469814136481,53.629086962420295,1.0039343372676706,1.5601682268348935
Ağrı,Patnos,19.641815071938826,3.1371365328503873,73.66535868799679,1.4790220344099003,0.8974745950296811
Ağrı,Taşlıçay,21.32815178877586,1.9659389644530803,66.08755286318437,6.0006857926620185,2.526002971768202
Ağrı,Tutak,27.999400119976006,1.814637072585483,60.460407918416315,5.8188362327534495,2.0995800839832035
Amasya,Merkez,44.538035749447566,23.334500185967137,1.6890191874329972,13.107401492112805,14.681558623405605
